docType,billId,billNumber,session,title,description,status,statusDate,last_action,last_action_date,url,pdf_link,txt_link,amendments,amendment_links,seeAlso,history
Assembly Bill,1950234,AB1,2025-2026 Regular Session,Changes to the educational assessment program and the school and school district accountability report. (FE),An Act to renumber and amend 115.385 (1) (b); to amend 115.385 (1) (c); to create 115.385 (1) (b) 2m. and 118.30 (1j) of the statutes; Relating to: changes to the educational assessment program and the school and school district accountability report. (FE),Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB1/2025,Bill Text/bill_3093564.pdf,Bill Text/bill_3093564.txt,,,,,"2025-01-31 - Introduced; 2025-01-31 - Read first time and referred to Committee on Education; 2025-02-06 - Public hearing held; 2025-02-13 - Executive action taken; 2025-02-14 - Fiscal estimate received; 2025-02-17 - Report passage recommended by Committee on Education, Ayes 9, Noes 4; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-19 - Read a second time; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 54, Noes 44; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1952554,AB2,2025-2026 Regular Session,Requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,An Act to amend 119.04 (1); to create 120.12 (29) of the statutes; Relating to: requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB2/2025,Bill Text/bill_3096543.pdf,Bill Text/bill_3096543.txt,Assembly Amendment 1; Assembly Amendment 1,Bill Text/amendment_227407.pdf; Bill Text/amendment_229505.pdf,Bill Text/amendment_227407.txt; Bill Text/amendment_229505.txt,,"2025-02-03 - Introduced; 2025-02-03 - Read first time and referred to Committee on Science, Technology, and AI; 2025-02-11 - Public hearing held; 2025-02-12 - Assembly Amendment 1 offered by Representative Kitchens; 2025-02-13 - Executive action taken; 2025-02-17 - Report Assembly Amendment 1 adoption recommended by Committee on Science, Technology, and AI, Ayes 4, Noes 2; 2025-02-17 - Report passage as amended recommended by Committee on Science, Technology, and AI, Ayes 4, Noes 2; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-18 - Assembly Amendment 1 to Assembly Amendment 1 offered by Representative Kitchens; 2025-02-19 - Read a second time; 2025-02-19 - Assembly Amendment 1 to Assembly Amendment 1 adopted; 2025-02-19 - Assembly Amendment 1 adopted; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 53, Noes 45; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1952847,AB3,2025-2026 Regular Session,Incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE),"An Act to create 115.28 (55p), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (k) 4. of the statutes; Relating to: incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE)",Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB3/2025,Bill Text/bill_3096833.pdf,Bill Text/bill_3096833.txt,,,,,"2025-02-03 - Introduced; 2025-02-03 - Read first time and referred to Committee on Education; 2025-02-06 - Fiscal estimate received; 2025-02-06 - Public hearing held; 2025-02-13 - Executive action taken; 2025-02-17 - Representative O'Connor added as a coauthor; 2025-02-17 - Report passage recommended by Committee on Education, Ayes 8, Noes 5; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-19 - Representative Goodwin withdrawn as a coauthor; 2025-02-19 - Read a second time; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 51, Noes 46; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1952651,AB4,2025-2026 Regular Session,"Required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)","An Act to amend 118.165 (1) (d) and 118.33 (1) (a) 1. b.; to create 115.28 (55v), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (L) 9. of the statutes; Relating to: required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)",Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB4/2025,Bill Text/bill_3096639.pdf,Bill Text/bill_3096639.txt,Assembly Substitute Amendment 1,Bill Text/amendment_230080.pdf,Bill Text/amendment_230080.txt,,"2025-02-03 - Introduced; 2025-02-03 - Read first time and referred to Committee on Education; 2025-02-04 - Representative Melotik added as a coauthor; 2025-02-06 - Fiscal estimate received; 2025-02-06 - Public hearing held; 2025-02-13 - Executive action taken; 2025-02-17 - Report passage recommended by Committee on Education, Ayes 8, Noes 5; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-19 - Read a second time; 2025-02-19 - Assembly Substitute Amendment 1 offered by Representative Andraca; 2025-02-19 - Point of order that Assembly Substitute Amendment 1 not germane under Assembly Rule 54 (3)(f) well taken; 2025-02-19 - Decision of the Chair appealed; 2025-02-19 - Decision of the Chair upheld, Ayes 54, Noes 44; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 52, Noes 46; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1952454,AB5,2025-2026 Regular Session,"Requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.","An Act to amend 118.03 (1) and 118.03 (4); to create 118.03 (1m) and 118.032 of the statutes; Relating to: requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.",Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB5/2025,Bill Text/bill_3096443.pdf,Bill Text/bill_3096443.txt,,,,,"2025-02-03 - Introduced; 2025-02-03 - Read first time and referred to Committee on Education; 2025-02-06 - Public hearing held; 2025-02-13 - Executive action taken; 2025-02-17 - Representative O'Connor added as a coauthor; 2025-02-17 - Report passage recommended by Committee on Education, Ayes 9, Noes 4; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-18 - Representative Gustafson added as a coauthor; 2025-02-19 - Read a second time; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 54, Noes 43; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1953975,AB6,2025-2026 Regular Session,Requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE),"An Act to amend 118.24 (1), 119.44 (2) (c) and 121.085 (1); to create 120.18 (1) (h) and 121.10 of the statutes; Relating to: requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE)",Engrossed,2025-02-19,Read first time and referred to committee on Education,2025-02-21,https://legiscan.com/WI/bill/AB6/2025,Bill Text/bill_3098131.pdf,Bill Text/bill_3098131.txt,Assembly Substitute Amendment 1; Assembly Amendment 1,Bill Text/amendment_230210.pdf; Bill Text/amendment_230211.pdf,Bill Text/amendment_230210.txt; Bill Text/amendment_230211.txt,,"2025-02-04 - Introduced; 2025-02-04 - Read first time and referred to Committee on Education; 2025-02-06 - Public hearing held; 2025-02-13 - Executive action taken; 2025-02-17 - Representative O'Connor added as a coauthor; 2025-02-17 - Report passage recommended by Committee on Education, Ayes 8, Noes 5; 2025-02-17 - Referred to calendar of 2-19-2025 pursuant to Assembly Rule 45 (1); 2025-02-17 - Fiscal estimate received; 2025-02-18 - Representative Gustafson added as a coauthor; 2025-02-19 - Read a second time; 2025-02-19 - Assembly Substitute Amendment 1 offered by Representative Hong; 2025-02-19 - Point of order that Assembly Substitute Amendment 1 not germane under Assembly Rule 54 (3)(f) well taken; 2025-02-19 - Decision of the Chair appealed; 2025-02-19 - Decision of the Chair upheld, Ayes 54, Noes 43; 2025-02-19 - Assembly Amendment 1 offered by Representative Franklin; 2025-02-19 - Assembly Amendment 1 adopted; 2025-02-19 - Ordered to a third reading; 2025-02-19 - Rules suspended; 2025-02-19 - Read a third time and passed, Ayes 53, Noes 44; 2025-02-19 - Ordered immediately messaged; 2025-02-20 - Received from Assembly; 2025-02-21 - Read first time and referred to committee on Education"
Assembly Bill,1958669,AB7,2025-2026 Regular Session,Requiring local approval for certain wind and solar projects before Public Service Commission approval.,"An Act to amend 66.0401 (1m) (intro.); to create 66.0401 (1r), 66.0401 (4) (h), 196.49 (4m) and 196.491 (3) (d) 9. of the statutes; Relating to: requiring local approval for certain wind and solar projects before Public Service Commission approval.",Introduced,2025-02-06,Representative Dallman added as a coauthor,2025-02-11,https://legiscan.com/WI/bill/AB7/2025,Bill Text/bill_3104256.pdf,Bill Text/bill_3104256.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Energy and Utilities; 2025-02-11 - Representative Dallman added as a coauthor
Assembly Bill,1959159,AB8,2025-2026 Regular Session,Agreements for direct primary care.,An Act to create 146.78 and 600.01 (1) (b) 13. of the statutes; Relating to: agreements for direct primary care.,Introduced,2025-02-06,Representative Kitchens added as a coauthor,2025-02-12,https://legiscan.com/WI/bill/AB8/2025,Bill Text/bill_3104743.pdf,Bill Text/bill_3104743.txt,,,,,"2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Health, Aging and Long-Term Care; 2025-02-12 - Public hearing held; 2025-02-12 - Representative Kitchens added as a coauthor"
Assembly Bill,1959122,AB9,2025-2026 Regular Session,Allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.,An Act to amend 119.04 (1); to create 118.065 of the statutes; Relating to: allowing representatives of certain federally chartered youth membership organizations to provide information to pupils on public school property.,Introduced,2025-02-06,Read first time and referred to Committee on Education,2025-02-06,https://legiscan.com/WI/bill/AB9/2025,Bill Text/bill_3104708.pdf,Bill Text/bill_3104708.txt,,,,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Education
Assembly Bill,1959218,AB10,2025-2026 Regular Session,A sales and use tax exemption for the sale of gun safes. (FE),An Act to amend 77.52 (13) and 77.53 (10); to create 77.54 (75) of the statutes; Relating to: a sales and use tax exemption for the sale of gun safes. (FE),Introduced,2025-02-06,Assembly Substitute Amendment 1 offered by Representative Neylon,2025-02-27,https://legiscan.com/WI/bill/AB10/2025,Bill Text/bill_3104804.pdf,Bill Text/bill_3104804.txt,Assembly Substitute Amendment 1,Bill Text/amendment_232676.pdf,Bill Text/amendment_232676.txt,,2025-02-06 - Introduced; 2025-02-06 - Read first time and referred to Committee on Ways and Means; 2025-02-17 - LRB correction; 2025-02-20 - Fiscal estimate received; 2025-02-21 - Representative J. Jacobson added as a coauthor; 2025-02-27 - Assembly Substitute Amendment 1 offered by Representative Neylon
