billnumber,billid,billstatusdate,billstatus,billtitle,billdescription,new_column_name
AB51,1977778,2025-02-20,1,Participation in interscholastic athletics and application of the public records and open meetings laws to interscholastic athletic associations.,"An Act to amend 19.32 (1) and 19.82 (1); to create 19.32 (1db), 19.36 (17) and (18), 19.82 (1m) and 118.1335 of the statutes; Relating to: participation in interscholastic athletics and application of the public records and open meetings laws to interscholastic athletic associations.",
AJR7,1972847,2025-02-17,1,"Proclaiming February 4, 2025, as Transit Equity Day.","Relating to: proclaiming February 4, 2025, as Transit Equity Day.",
AB52,1977971,2025-02-20,1,Expanding the homestead income tax credit. (FE),"An Act to repeal 71.54 (1) (g) 5. and 71.54 (1) (g) 7.; to amend 71.54 (1) (g) (intro.), 71.54 (1) (g) 4., 71.54 (1) (g) 6. (intro.), 71.54 (2) (b) 4. and 71.54 (2m); to create 71.54 (1) (h) and 71.54 (2) (b) 5. of the statutes; Relating to: expanding the homestead income tax credit. (FE)",
AB1,1950234,2025-02-19,2,Changes to the educational assessment program and the school and school district accountability report. (FE),An Act to renumber and amend 115.385 (1) (b); to amend 115.385 (1) (c); to create 115.385 (1) (b) 2m. and 118.30 (1j) of the statutes; Relating to: changes to the educational assessment program and the school and school district accountability report. (FE),
AB2,1952554,2025-02-19,2,Requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,An Act to amend 119.04 (1); to create 120.12 (29) of the statutes; Relating to: requiring school boards to adopt policies to prohibit the use of wireless communication devices during instructional time.,
AB3,1952847,2025-02-19,2,Incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE),"An Act to create 115.28 (55p), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (k) 4. of the statutes; Relating to: incorporating cursive writing into the state model English language arts standards and requiring cursive writing in elementary grades. (FE)",
AB4,1952651,2025-02-19,2,"Required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)","An Act to amend 118.165 (1) (d) and 118.33 (1) (a) 1. b.; to create 115.28 (55v), 118.40 (2r) (b) 2. m., 118.40 (2x) (b) 2. m., 118.60 (2) (a) 10., 119.23 (2) (a) 10. and 121.02 (1) (L) 9. of the statutes; Relating to: required instruction in civics in the elementary and high school grades, high school graduation requirements, and private school educational program criteria. (FE)",
AB5,1952454,2025-02-19,2,"Requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.","An Act to amend 118.03 (1) and 118.03 (4); to create 118.03 (1m) and 118.032 of the statutes; Relating to: requiring school boards to make textbooks, curricula, and instructional materials available for inspection by school district residents.",
AB6,1953975,2025-02-19,2,Requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE),"An Act to amend 118.24 (1), 119.44 (2) (c) and 121.085 (1); to create 120.18 (1) (h) and 121.10 of the statutes; Relating to: requiring a school board to spend at least 70 percent of its operating expenditures on direct classroom expenditures and annual pay increases for school administrators. (FE)",
AR3,1952356,2025-02-19,4,"Observing February 28, 2025, as Rare Disease Day in Wisconsin.","Relating to: observing February 28, 2025, as Rare Disease Day in Wisconsin.",
AR4,1968867,2025-02-19,4,Proclaiming our appreciation and respect for our Grocery and Retail Food Employees.,Relating to: proclaiming our appreciation and respect for our Grocery and Retail Food Employees.,
AJR2,1952750,2025-02-19,2,"Celebrating the 51st anniversary of the American Birkebeiner and proclaiming February 17 to 23, 2025, as American Birkebeiner Week in Wisconsin.","Relating to: celebrating the 51st anniversary of the American Birkebeiner and proclaiming February 17 to 23, 2025, as American Birkebeiner Week in Wisconsin.",
AJR4,1964106,2025-02-19,2,Honoring the life and public service of Justice David T. Prosser Jr.,Relating to: honoring the life and public service of Justice David T. Prosser Jr.,
